@eq natural (Succ (plus (mult x y) (plus y x))) (plus (mult x (Succ y)) (Succ y)),[clam_lf_goal35_mult_succ_78_plus_commut][clam_lf_goal86_mult_succ_80_plus_commut][clam_lf_goal33_mult_succ_80_plus_commut][clam_lf_goal84_mult_succ_80_plus_commut]
@eq bool (lst_subset (lst_intersection x y) (lfappend (Cons n Nil) x)) true,[clam_lf_goal41_theorem0_98_subset_append_general]
@eq lst y (lfappend y Nil),[clam_lf_goal32_rotate_len_append_50_append_nil][clam_lf_goal78_theorem0_64_append_nil][clam_lf_goal83_theorem0_52_append_nil][clam_lf_goal80_theorem0_58_append_nil][clam_lf_goal21_theorem0_51_lem3][clam_lf_goal11_theorem0_57_lem3]
@eq natural (plus Zero y) (plus y Zero),[clam_lf_goal34_plus_commut_57_plus_zero][clam_lf_goal33_plus_commut_63_plus_zero][clam_lf_goal84_plus_commut_63_plus_zero][clam_lf_goal35_plus_commut_61_plus_zero][clam_lf_goal86_plus_commut_63_plus_zero][clam_lf_goal85_plus_commut_59_plus_zero]
@eq natural (plus (plus (mult x y) y) z) (plus (mult x y) (plus z y)),[clam_lf_goal85_theorem0_66_plus_assoc]
@eq natural (mult Zero y) (mult y Zero),[clam_lf_goal33_mult_commut_89_mult_zero][clam_lf_goal84_mult_commut_87_mult_zero][clam_lf_goal86_mult_commut_87_mult_zero][clam_lf_goal35_mult_commut_85_mult_zero]
@eq lst (rev (rev y)) (lfappend y Nil),[clam_lf_goal11_theorem0_57_lem2][clam_lf_goal80_theorem0_58_rev_rev][clam_lf_goal78_theorem0_64_rev_rev]
@eq lst (drop x (drop y (Cons n z))) (drop y (drop x (Cons n z))),[clam_lf_goal9_drop_assoc_45_drop_Cons_assoc][clam_lf_goal8_theorem0_48_drop_Cons_assoc][clam_lf_goal9_drop_assoc_45_drop_Cons_assoc]
@eq lst (rev (qreva x (lfappend (rev (Cons n Nil)) (rev y)))) (lfappend y (Cons n x)),[clam_lf_goal78_theorem0_65_rev_append]
@eq natural (plus (mult x z) (plus (mult y z) z)) (plus (plus (mult x z) z) (mult y z)),[clam_lf_goal33_distrib_98_plus_commut][clam_lf_goal86_distrib_96_plus_commut][clam_lf_goal35_distrib_94_plus_commut][clam_lf_goal84_distrib_96_plus_commut]
@eq bool (lst_subset x (Cons n (lst_intersection x y))) true,[clam_lf_goal41_theorem0_103_append_single]
@eq bool (negb (even (plus x (Succ x)))) true,[clam_lf_goal16_theorem0_33_lem]
@eq natural (plus (plus (mult x y) y) (Succ x)) (plus (mult x (Succ y)) (Succ y)),[clam_lf_goal84_mult_succ_80_plus_succ][clam_lf_goal33_mult_succ_80_plus_succ][clam_lf_goal86_mult_succ_80_plus_succ]
@eq natural (qmult x y (plus z (plus y a))) (qmult x y (plus (plus z a) y)),[clam_lf_goal34_plus_qmult_66_plus_commut]
@eq natural (plus (plus (mult x z) (mult y z)) z) (plus (plus (mult x z) z) (mult y z)),[clam_lf_goal86_distrib_96_plus_assoc][clam_lf_goal33_distrib_98_plus_assoc][clam_lf_goal84_distrib_96_plus_assoc][clam_lf_goal35_distrib_94_plus_assoc]
@eq natural (len (rev (lfappend x y))) (plus (len x) (len y)),[clam_lf_goal6_theorem0_63_len_rev][clam_lf_goal6_theorem0_63_len_rev]
@eq lst (rev (qreva x Nil)) x,[clam_lf_goal29_theorem0_97_rev_qreva_nil]
@eq natural (qexp x y (mult (mult z x) a)) (qexp x y (mult (mult z a) x)),[clam_lf_goal35_mult_qexp_110_mult_assoc]
@eq lst (rev (rev x)) x,[clam_lf_goal30_theorem0_74_rev_involutive][clam_lf_goal29_theorem0_98_rev_involutive]
